critic1_losses,critic2_losses,actor_losses,alpha_losses,stats_win,stats_lose,mean_rewards,mean_win,mean_lose,eval_percent_win,eval_percent_lose
4.14517355,4.665229797,-12.65373993,0,0,0,-0.155226862,0,0,,
0.575401604,0.588587999,-12.89224052,0,0,1,-0.123229257,0,0.005524862,,
1.657371283,2.643284798,-12.73416901,0,0,0,-0.123107025,0,0,,
1.50925982,2.31756568,-13.10446072,0,0,1,-0.255845842,0,0.02173913,,
1.753130317,1.878849626,-12.63449478,0,0,0,-0.116507801,0,0,,
1.105736494,1.159449816,-12.95821667,0,0,0,-0.06882016,0,0,,
2.74879241,2.575981617,-12.98811913,0,0,0,-0.104169119,0,0,,
4.101223946,4.244008541,-12.81383991,0,1,0,0.05095018,0.008849558,0,,
1.367059946,1.529680848,-13.33992004,0,0,0,-0.12512812,0,0,,
2.136068344,2.197183847,-13.37914371,0,0,1,-0.133986277,0,0.010526316,,
2.149719477,2.414321423,-13.45328236,0,0,0,-0.112743815,0,0,,
4.470259666,3.967310667,-13.62196922,0,0,1,-0.220954991,0,0.019230769,,
1.868170023,2.207600355,-13.60056686,0,0,0,-0.139828945,0,0,,
1.55124402,1.837006807,-13.71986866,0,0,1,-0.340544602,0,0.03125,,
0.438755631,0.391409457,-13.56858444,0,0,0,-0.138268055,0,0,,
0.504935443,0.546340585,-13.71200943,0,0,0,-0.026864412,0,0,,
1.669070959,2.109405041,-13.63623428,0,0,0,-0.087946502,0,0,,
1.290814042,1.604827404,-14.64669895,0,1,0,0.147390725,0.014925373,0,,
0.49629721,0.478856176,-14.18385124,0,0,0,-0.11012793,0,0,,
2.183333158,2.060531616,-13.93157768,0,0,1,-0.173232314,0,0.01369863,,
1.380205631,1.582082748,-13.76110649,0,0,0,-0.102045696,0,0,,
0.461734861,0.417920977,-14.1432085,0,0,1,-0.29507456,0,0.025641026,,
1.123152256,1.316447377,-13.85156727,0,0,0,-0.109963654,0,0,,
2.06793046,2.410661459,-13.82288265,0,0,0,-0.031847619,0,0,,
3.212978601,3.223376036,-13.62034702,0,1,0,0.033565314,0.006134969,0,,
1.652896285,1.844789624,-13.72796917,0,0,0,-0.062219684,0,0,,
0.588566005,0.787833095,-14.08269882,0,0,1,-0.169276313,0,0.011494253,,
2.21470046,2.425769806,-13.22414207,0,0,1,-0.217071886,0,0.018867925,,
0.848658442,0.528261423,-13.38714886,0,0,0,-0.095358585,0,0,,
2.844970226,2.942117691,-13.2356205,0,0,1,-0.252663038,0,0.02173913,,
2.911033154,3.292350769,-13.20279884,0,0,0,-0.084814508,0,0,,
1.205583215,1.182783961,-14.00274849,0,0,1,-0.212294154,0,0.018181818,,
3.263659716,3.359348774,-13.41203117,0,0,1,-0.103046222,0,0.005405405,,
2.628127337,2.567098379,-13.89049244,0,0,0,-0.062278422,0,0,,
1.941932559,1.919261336,-13.62803841,0,0,0,-0.119688275,0,0,,
1.34195435,1.404675245,-12.78898335,0,0,1,-0.203105497,0,0.018181818,,
3.629743814,3.47928977,-13.80203915,0,0,0,-0.120972503,0,0,,
1.496704102,1.613468409,-13.02861786,0,0,1,-0.343408228,0,0.03030303,,
4.218355656,4.30143261,-13.12652206,0,0,0,-0.097808624,0,0,,
3.472907782,3.774538994,-14.24753284,0,0,0,-0.062611429,0,0,,
2.667626381,2.471179962,-13.28921318,0,0,0,-0.107938876,0,0,,
4.471065998,4.820167065,-14.00974846,0,0,1,-0.237405279,0,0.021276596,,
0.82400465,0.812060297,-13.54077339,0,0,0,-0.118794149,0,0,,
1.230757236,1.14428854,-13.65132523,0,0,0,-0.059553251,0,0,,
2.772588491,3.098708868,-13.74543953,0,0,0,-0.11742206,0,0,,
1.306407928,1.422844887,-13.25186634,0,0,1,-0.334118102,0,0.03125,,
2.210140705,2.484862804,-14.07987404,0,0,0,-0.106685042,0,0,,
1.188790679,1.423600197,-13.50934696,0,0,1,-0.150756286,0,0.012345679,,
2.626503944,3.085157871,-13.12207699,0,0,0,-0.14499252,0,0,,
1.133337498,1.001568556,-13.72458935,0,0,0,-0.026739246,0,0,,
3.28032589,3.220251083,-13.45602322,0,0,0,-0.083324444,0,0,,
2.383795023,2.277359247,-13.50575256,0,0,1,-0.372056022,0,0.033333333,,
1.931472301,1.630805969,-12.75469875,0,0,0,-0.117147146,0,0,,
1.116630793,0.926986635,-13.1594944,0,0,1,-0.254778825,0,0.023255814,,
2.092462063,1.854269862,-13.0187273,0,0,0,-0.105434601,0,0,,
0.626673043,0.596793532,-13.83008003,0,0,1,-0.170396072,0,0.012987013,,
1.942655921,2.112086773,-14.33599949,0,0,0,-0.10161212,0,0,,
1.667543769,1.729006529,-13.50537968,0,0,1,-0.11313414,0,0.007692308,,
0.3792198,0.340699464,-13.8267107,0,0,0,-0.117835401,0,0,,
